A1	A2	B1	B2
517	449	378	403
1470	1210	1332	1140
460	402	269	322
5580	4012	5731	5092
2	3	3	4
671	551	731	570
237	159	193	129
36	38	36	34
5051	4787	4399	3776
852	797	916	735
0	0	0	0
20	24	40	15
14	12	26	9
1002	769	917	955
1861	1620	1838	1340
0	0	0	0
0	0	0	0
0	0	0	0
5	6	2	2
107	68	97	28
2733	2288	2126	1764
4106	3686	3832	2843
224	195	213	179
4	1	2	1
406	348	415	313
79	46	59	49
4	1	1	1
404	336	448	315
14	15	7	9
13	12	13	8
2350	2315	2521	1693
335	313	233	252
1152	949	1192	848
65	48	79	71
1471	1404	1210	1267
977	772	664	472
291	256	211	223
15	24	7	10
8931	7305	8298	6434
327	329	297	247
50	11	27	14
0	0	0	0
4	3	3	3
552	587	453	428
1480	1413	1572	1180
2558	2485	1830	2067
0	0	1	0
0	2	0	0
0	2	0	0
1251	1125	1322	957
2503	2355	2507	2070
4	8	13	4
0	0	2	3
1615	1268	1820	1320
203	207	232	169
238	229	253	180
0	0	0	0
